Connection Accepted: /127.0.0.13:12345

tiempo 1700437814700  tiempo 2 700444860100duration 7045400
tiempo 1700452709100  tiempo 2 700457200500duration 4491400
tiempo 1700461851600  tiempo 2 700465310000duration 3458400
tiempo 1700469377600  tiempo 2 700473305600duration 3928000
tiempo 1700479093200  tiempo 2 700484481800duration 5388600
tiempo 1700490331800  tiempo 2 700494937800duration 4606000
tiempo 1700500747000  tiempo 2 700505345700duration 4598700
tiempo 1700510999900  tiempo 2 700515774200duration 4774300
tiempo 1700520679900  tiempo 2 700524517900duration 3838000
tiempo 1700528981600  tiempo 2 700532861400duration 3879800
tiempo 1700537946400  tiempo 2 700542271900duration 4325500
tiempo 1700546923400  tiempo 2 700559579800duration 12656400
tiempo 1700563990800  tiempo 2 700567851500duration 3860700
tiempo 1700572086600  tiempo 2 700575595000duration 3508400
tiempo 1700580029200  tiempo 2 700583704300duration 3675100
tiempo 1700587925000  tiempo 2 700591339700duration 3414700
tiempo 1700595721500  tiempo 2 700599411100duration 3689600
tiempo 1700604132700  tiempo 2 700608451900duration 4319200
tiempo 1700611019000  tiempo 2 700615526800duration 4507800
tiempo 1700620883500  tiempo 2 700625329000duration 4445500
tiempo 1700629947800  tiempo 2 700633501300duration 3553500
tiempo 1700638742000  tiempo 2 700643183700duration 4441700
tiempo 1700647775500  tiempo 2 700651536900duration 3761400
tiempo 1700655836700  tiempo 2 700659262900duration 3426200
tiempo 1700663480900  tiempo 2 700667610700duration 4129800
tiempo 1700673047300  tiempo 2 700677587600duration 4540300
tiempo 1700683159900  tiempo 2 700690090800duration 6930900
tiempo 1700695872400  tiempo 2 700700562400duration 4690000
tiempo 1700705817800  tiempo 2 700709576100duration 3758300
tiempo 1700713918200  tiempo 2 700717477200duration 3559000
tiempo 1700721669800  tiempo 2 700725200300duration 3530500
tiempo 1700729631600  tiempo 2 700733628500duration 3996900
tiempo 1700738129000  tiempo 2 700741593500duration 3464500
tiempo 1700745894200  tiempo 2 700749985100duration 4090900
tiempo 1700754491700  tiempo 2 700758279500duration 3787800
tiempo 1700762955700  tiempo 2 700766493900duration 3538200
tiempo 1700770678500  tiempo 2 700774145600duration 3467100
tiempo 1700778341200  tiempo 2 700781804700duration 3463500
tiempo 1700785999900  tiempo 2 700789462500duration 3462600
tiempo 1700793846200  tiempo 2 700797533000duration 3686800
tiempo 1700801762300  tiempo 2 700805407600duration 3645300
tiempo 1700809727200  tiempo 2 700813247000duration 3519800
tiempo 1700817530300  tiempo 2 700820952400duration 3422100
tiempo 1700823008600  tiempo 2 700826510100duration 3501500
tiempo 1700830692300  tiempo 2 700834155200duration 3462900
tiempo 1700836194800  tiempo 2 700840724100duration 4529300
tiempo 1700845394100  tiempo 2 700850075200duration 4681100
tiempo 1700855344900  tiempo 2 700859713000duration 4368100
tiempo 1700862226500  tiempo 2 700866571500duration 4345000
tiempo 1700871535300  tiempo 2 700875141000duration 3605700
tiempo 1700879427400  tiempo 2 700882937900duration 3510500
tiempo 1700887119900  tiempo 2 700890660200duration 3540300
tiempo 1700895628000  tiempo 2 700900293800duration 4665800
tiempo 1700906155500  tiempo 2 700910920700duration 4765200
tiempo 1700918756800  tiempo 2 700923291600duration 4534800
tiempo 1700939717400  tiempo 2 700944268200duration 4550800
tiempo 1700972207300  tiempo 2 700976997900duration 4790600
tiempo 1700982982000  tiempo 2 700987839300duration 4857300
tiempo 1700990694200  tiempo 2 700995336600duration 4642400
tiempo 1701001228000  tiempo 2 701026368800duration 25140800
tiempo 1701032318400  tiempo 2 701037319800duration 5001400
tiempo 1701042192900  tiempo 2 701045757000duration 3564100
tiempo 1701050494400  tiempo 2 701053896000duration 3401600
tiempo 1701058227200  tiempo 2 701062090700duration 3863500
tiempo 1701066314600  tiempo 2 701069778000duration 3463400
tiempo 1701074597600  tiempo 2 701079132100duration 4534500
tiempo 1701084835900  tiempo 2 701089553500duration 4717600
tiempo 1701092469200  tiempo 2 701107433300duration 14964100
tiempo 1701113152500  tiempo 2 701153170100duration 40017600
tiempo 1701156349400  tiempo 2 701161002100duration 4652700
tiempo 1701166463800  tiempo 2 701171799000duration 5335200
tiempo 1701177439800  tiempo 2 701182213500duration 4773700
tiempo 1701187921400  tiempo 2 701193008800duration 5087400
tiempo 1701198760500  tiempo 2 701203319300duration 4558800
tiempo 1701209138000  tiempo 2 701214466000duration 5328000
tiempo 1701220531800  tiempo 2 701225727200duration 5195400
tiempo 1701231505400  tiempo 2 701236278800duration 4773400
tiempo 1701242208800  tiempo 2 701247045700duration 4836900
tiempo 1701253229500  tiempo 2 701258007100duration 4777600
tiempo 1701263853900  tiempo 2 701268721800duration 4867900
tiempo 1701274460000  tiempo 2 701279210900duration 4750900
tiempo 1701286942300  tiempo 2 701291211500duration 4269200
tiempo 1701296391400  tiempo 2 701300045700duration 3654300
tiempo 1701304302000  tiempo 2 701307756700duration 3454700
tiempo 1701312154900  tiempo 2 701315919700duration 3764800
tiempo 1701320125400  tiempo 2 701323596400duration 3471000
tiempo 1701327712300  tiempo 2 701331155000duration 3442700
tiempo 1701335626600  tiempo 2 701341172400duration 5545800
tiempo 1701347282000  tiempo 2 701352068700duration 4786700
tiempo 1701357675700  tiempo 2 701362723900duration 5048200
tiempo 1701368361400  tiempo 2 701373424700duration 5063300
tiempo 1701379002200  tiempo 2 701383370100duration 4367900
tiempo 1701388662900  tiempo 2 701393326200duration 4663300
tiempo 1701398344600  tiempo 2 701401885900duration 3541300
tiempo 1701406784600  tiempo 2 701412078100duration 5293500
tiempo 1701418270800  tiempo 2 701423032600duration 4761800
tiempo 1701428756900  tiempo 2 701433027900duration 4271000
tiempo 1701437648900  tiempo 2 701441259200duration 3610300
tiempo 1701445637200  tiempo 2 701449334600duration 3697400
tiempo 1701453636400  tiempo 2 701457301300duration 3664900
tiempo 1701461466500  tiempo 2 701465031900duration 3565400
tiempo 1701503449200  tiempo 2 701514144300duration 10695100
tiempo 1701521910000  tiempo 2 701527032900duration 5122900
tiempo 1701532825900  tiempo 2 701537137200duration 4311300
tiempo 1701542004100  tiempo 2 701545541300duration 3537200
tiempo 1701549803400  tiempo 2 701553382000duration 3578600
tiempo 1701557621800  tiempo 2 701561338800duration 3717000
tiempo 1701565654500  tiempo 2 701569195300duration 3540800
tiempo 1701573320900  tiempo 2 701576700000duration 3379100
tiempo 1701580780000  tiempo 2 701584136100duration 3356100
tiempo 1701588040000  tiempo 2 701592508500duration 4468500
tiempo 1701596674700  tiempo 2 701600081900duration 3407200
tiempo 1701604189800  tiempo 2 701608129600duration 3939800
tiempo 1701613919500  tiempo 2 701617829200duration 3909700
tiempo 1701621945100  tiempo 2 701625914500duration 3969400
tiempo 1701630309700  tiempo 2 701634345900duration 4036200
tiempo 1701638610800  tiempo 2 701642441600duration 3830800
tiempo 1701646735300  tiempo 2 701650803000duration 4067700
tiempo 1701652882800  tiempo 2 701656439500duration 3556700
tiempo 1701660550100  tiempo 2 701664010700duration 3460600
tiempo 1701668125600  tiempo 2 701671810500duration 3684900
tiempo 1701676014500  tiempo 2 701679530500duration 3516000
tiempo 1701683687300  tiempo 2 701687371800duration 3684500
tiempo 1701691859900  tiempo 2 701695409500duration 3549600
tiempo 1701699671900  tiempo 2 701703186300duration 3514400
tiempo 1701707664800  tiempo 2 701711296500duration 3631700
tiempo 1701715439800  tiempo 2 701718927700duration 3487900
tiempo 1701723729100  tiempo 2 701728386800duration 4657700
tiempo 1701733997600  tiempo 2 701738495500duration 4497900
tiempo 1701743897200  tiempo 2 701748441500duration 4544300
tiempo 1701753816400  tiempo 2 701758345400duration 4529000
tiempo 1701763611600  tiempo 2 701767701400duration 4089800
tiempo 1701771992500  tiempo 2 701779159400duration 7166900
tiempo 1701783170700  tiempo 2 701786517700duration 3347000
tiempo 1701793550300  tiempo 2 701796913300duration 3363000
tiempo 1701800941200  tiempo 2 701804310100duration 3368900
tiempo 1701808367800  tiempo 2 701811840000duration 3472200
tiempo 1701815978200  tiempo 2 701819371100duration 3392900
tiempo 1701823380900  tiempo 2 701827152300duration 3771400
tiempo 1701831364300  tiempo 2 701834828100duration 3463800
tiempo 1701839973900  tiempo 2 701843981900duration 4008000
tiempo 1701848382000  tiempo 2 701851788000duration 3406000
tiempo 1701855957200  tiempo 2 701859829200duration 3872000
tiempo 1701861899700  tiempo 2 701866101000duration 4201300
tiempo 1701870508200  tiempo 2 701873964000duration 3455800
tiempo 1701875870400  tiempo 2 701879999500duration 4129100
tiempo 1701884532700  tiempo 2 701888900900duration 4368200
tiempo 1701893912000  tiempo 2 701898900800duration 4988800
tiempo 1701904145100  tiempo 2 701908555600duration 4410500
tiempo 1701913651000  tiempo 2 701918144800duration 4493800
tiempo 1701920452300  tiempo 2 701925191600duration 4739300
tiempo 1701929295900  tiempo 2 701964895700duration 35599800
tiempo 1701977666500  tiempo 2 701984204800duration 6538300
tiempo 1702035868700  tiempo 2 702048196600duration 12327900
